home_team,away_team,Attendance,Date
Argentina,Hungary,71615,1978-06-02
West Germany,Poland,67579,1978-06-01
Netherlands,West Germany,78200,1974-07-07
Brazil,Poland,77100,1974-07-06
Poland,West Germany,62000,1974-07-03
Netherlands,Brazil,53700,1974-07-03
Argentina,Germany DR,54254,1974-07-03
Sweden,Yugoslavia,41300,1974-07-03
Poland,Yugoslavia,58000,1974-06-30
Argentina,Brazil,39400,1974-06-30
Germany DR,Netherlands,68348,1974-06-30
West Germany,Sweden,67800,1974-06-30
Yugoslavia,West Germany,67385,1974-06-26
Brazil,Germany DR,59863,1974-06-26
Sweden,Poland,44955,1974-06-26
Netherlands,Argentina,56548,1974-06-26
Bulgaria,Netherlands,53300,1974-06-23
Poland,Italy,70100,1974-06-23
Sweden,Uruguay,28300,1974-06-23
Argentina,Haiti,25900,1974-06-23
Scotland,Yugoslavia,56000,1974-06-22
Australia,Chile,17400,1974-06-22
Zaire,Brazil,36200,1974-06-22
Germany DR,West Germany,60200,1974-06-22
Haiti,Poland,25300,1974-06-19
Bulgaria,Uruguay,13400,1974-06-19
Netherlands,Sweden,53700,1974-06-19
Argentina,Italy,70100,1974-06-19
Australia,West Germany,53300,1974-06-18
Yugoslavia,Zaire,31700,1974-06-18
Chile,Germany DR,28300,1974-06-18
Scotland,Brazil,62000,1974-06-18
Uruguay,Netherlands,55100,1974-06-15
Sweden,Bulgaria,23800,1974-06-15
Italy,Haiti,53000,1974-06-15
Poland,Argentina,32700,1974-06-15
West Germany,Chile,81100,1974-06-14
Germany DR,Australia,17000,1974-06-14
Zaire,Scotland,27000,1974-06-14
Brazil,Yugoslavia,62000,1974-06-13
Brazil,Italy,107412,1970-06-21
West Germany,Uruguay,104403,1970-06-20
Italy,West Germany,102444,1970-06-17
Brazil,Uruguay,51261,1970-06-17
Brazil,Peru,54233,1970-06-14
Italy,Mexico,26851,1970-06-14
Uruguay,Soviet Union,26085,1970-06-14
West Germany,England,23357,1970-06-14
Mexico,Belgium,108192,1970-06-11
Italy,Israel,9890,1970-06-11
Bulgaria,Morocco,12299,1970-06-11
England,Czechoslovakia,49292,1970-06-11
West Germany,Peru,17875,1970-06-10
Brazil,Romania,50804,1970-06-10
Sweden,Uruguay,18163,1970-06-10
Soviet Union,El Salvador,89979,1970-06-10
Mexico,El Salvador,103058,1970-06-07
Brazil,England,66843,1970-06-07
West Germany,Bulgaria,12710,1970-06-07
Sweden,Israel,9624,1970-06-07
Romania,Czechoslovakia,56818,1970-06-06
Uruguay,Italy,29968,1970-06-06
Soviet Union,Belgium,95261,1970-06-06
Peru,Morocco,13537,1970-06-06
Belgium,El Salvador,92205,1970-06-03
Brazil,Czechoslovakia,52897,1970-06-03
Italy,Sweden,13433,1970-06-03
West Germany,Morocco,12942,1970-06-03
England,Romania,50560,1970-06-02
Peru,Bulgaria,13765,1970-06-02
Uruguay,Israel,20654,1970-06-02
Mexico,Soviet Union,107160,1970-05-31
England,West Germany,96924,1966-07-30
Portugal,Soviet Union,87696,1966-07-28
England,Portugal,94493,1966-07-26
West Germany,Soviet Union,38273,1966-07-25
Portugal,Korea DPR,40248,1966-07-23
England,Argentina,90584,1966-07-23
Soviet Union,Hungary,26844,1966-07-23
West Germany,Uruguay,40007,1966-07-23
England,France,98270,1966-07-20
Hungary,Bulgaria,24129,1966-07-20
West Germany,Spain,42187,1966-07-20
Soviet Union,Chile,16027,1966-07-20
Uruguay,Mexico,61112,1966-07-19
Argentina,Switzerland,32127,1966-07-19
Portugal,Brazil,58479,1966-07-19
Korea DPR,Italy,17829,1966-07-19
West Germany,Argentina,46587,1966-07-16
Soviet Union,Italy,27793,1966-07-16
Portugal,Bulgaria,25438,1966-07-16
England,Mexico,92570,1966-07-16
Spain,Switzerland,32028,1966-07-15
Uruguay,France,45662,1966-07-15
Hungary,Brazil,51387,1966-07-15
Korea DPR,Chile,13792,1966-07-15
Argentina,Spain,42738,1966-07-13
France,Mexico,69237,1966-07-13
Italy,Chile,27199,1966-07-13
Portugal,Hungary,29886,1966-07-13
Brazil,Bulgaria,47308,1966-07-12
Soviet Union,Korea DPR,23006,1966-07-12
West Germany,Switzerland,36127,1966-07-12
England,Uruguay,87148,1966-07-11
Brazil,Czechoslovakia,68679,1962-06-17
Chile,Yugoslavia,66697,1962-06-16
Brazil,Chile,76594,1962-06-13
Czechoslovakia,Yugoslavia,5890,1962-06-13
Chile,Soviet Union,17268,1962-06-10
Brazil,England,17736,1962-06-10
Czechoslovakia,Hungary,11690,1962-06-10
Yugoslavia,West Germany,63324,1962-06-10
England,Bulgaria,5700,1962-06-07
Mexico,Czechoslovakia,10648,1962-06-07
Italy,Switzerland,59828,1962-06-07
Yugoslavia,Colombia,7167,1962-06-07
West Germany,Chile,67224,1962-06-06
Soviet Union,Uruguay,9973,1962-06-06
Hungary,Argentina,7945,1962-06-06
Brazil,Spain,18715,1962-06-06
Spain,Mexico,11875,1962-06-03
Soviet Union,Colombia,8040,1962-06-03
Hungary,Bulgaria,7442,1962-06-03
West Germany,Switzerland,64922,1962-06-03
Chile,Italy,66057,1962-06-02
Brazil,Czechoslovakia,14903,1962-06-02
England,Argentina,9794,1962-06-02
Yugoslavia,Uruguay,8829,1962-06-02
West Germany,Italy,65440,1962-05-31
Hungary,England,7938,1962-05-31
Czechoslovakia,Spain,12700,1962-05-31
Soviet Union,Yugoslavia,9622,1962-05-31
Chile,Switzerland,65006,1962-05-30
Uruguay,Colombia,7908,1962-05-30
Brazil,Mexico,10484,1962-05-30
Argentina,Bulgaria,7134,1962-05-30
Brazil,Sweden,49737,1958-06-29
France,West Germany,32483,1958-06-28
Sweden,West Germany,49471,1958-06-24
Brazil,France,27100,1958-06-24
France,Northern Ireland,11800,1958-06-19
West Germany,Yugoslavia,20055,1958-06-19
Brazil,Wales,25923,1958-06-19
Sweden,Soviet Union,31900,1958-06-19
Northern Ireland,Czechoslovakia,6196,1958-06-17
Wales,Hungary,2823,1958-06-17
Soviet Union,England,23182,1958-06-17
Sweden,Wales,30287,1958-06-15
Paraguay,Yugoslavia,13103,1958-06-15
West Germany,Northern Ireland,21990,1958-06-15
Czechoslovakia,Argentina,16418,1958-06-15
England,Austria,15872,1958-06-15
Brazil,Soviet Union,50928,1958-06-15
Hungary,Mexico,13300,1958-06-15
France,Scotland,13554,1958-06-15
Sweden,Hungary,38850,1958-06-12
Soviet Union,Austria,21239,1958-06-11
West Germany,Czechoslovakia,25000,1958-06-11
Argentina,Northern Ireland,14174,1958-06-11
Yugoslavia,France,12217,1958-06-11
Paraguay,Scotland,11665,1958-06-11
Brazil,England,40895,1958-06-11
Mexico,Wales,15150,1958-06-11
Sweden,Mexico,34107,1958-06-08
Northern Ireland,Czechoslovakia,10647,1958-06-08
Hungary,Wales,15343,1958-06-08
Yugoslavia,Scotland,9591,1958-06-08
Brazil,Austria,17788,1958-06-08
Soviet Union,England,49348,1958-06-08
France,Paraguay,16518,1958-06-08
Argentina,West Germany,31156,1958-06-08
Germany,Hungary,62500,1954-07-04
Austria,Uruguay,32000,1954-07-03
Hungary,Uruguay,45000,1954-06-30
Germany,Austria,58000,1954-06-30
Germany,Yugoslavia,17000,1954-06-27
Hungary,Brazil,40000,1954-06-27
Uruguay,England,28000,1954-06-26
Switzerland,Austria,35000,1954-06-26
Germany,Türkiye,17000,1954-06-23
Switzerland,Italy,30000,1954-06-23
Hungary,Germany,56000,1954-06-20
Türkiye,Korea Republic,4000,1954-06-20
Italy,Belgium,24000,1954-06-20
Switzerland,England,43500,1954-06-20
Uruguay,Scotland,34000,1954-06-19
Brazil,Yugoslavia,24637,1954-06-19
Austria,Czechoslovakia,26000,1954-06-19
France,Mexico,19000,1954-06-19
Switzerland,Italy,43000,1954-06-17
Hungary,Korea Republic,13000,1954-06-17
Germany,Türkiye,28000,1954-06-17
England,Belgium,14000,1954-06-17
Uruguay,Czechoslovakia,20500,1954-06-16
Yugoslavia,France,16000,1954-06-16
Brazil,Mexico,13470,1954-06-16
Austria,Scotland,25000,1954-06-16
Sweden,Spain,11227,1950-07-16
Uruguay,Brazil,173850,1950-07-16
Brazil,Spain,152772,1950-07-13
Uruguay,Sweden,7987,1950-07-13
Brazil,Sweden,138886,1950-07-09
Uruguay,Spain,44802,1950-07-09
Chile,United States,8501,1950-07-02
Italy,Paraguay,25811,1950-07-02
Uruguay,Bolivia,5284,1950-07-02
Spain,England,74462,1950-07-02
Switzerland,Mexico,3580,1950-07-02
Brazil,Yugoslavia,142429,1950-07-01
Spain,Chile,19790,1950-06-29
United States,England,10151,1950-06-29
Sweden,Paraguay,7903,1950-06-29
Brazil,Switzerland,42032,1950-06-28
Yugoslavia,Mexico,11078,1950-06-28
Sweden,Italy,36502,1950-06-25
England,Chile,29703,1950-06-25
Spain,United States,9511,1950-06-25
Yugoslavia,Switzerland,7336,1950-06-25
Brazil,Mexico,81649,1950-06-24
Brazil,Sweden,12000,1938-06-19
Italy,Hungary,45000,1938-06-19
Hungary,Sweden,20000,1938-06-16
Italy,Brazil,33000,1938-06-16
Brazil,Czechoslovakia,18141,1938-06-14
Sweden,Cuba,7000,1938-06-12
Brazil,Czechoslovakia,22021,1938-06-12
Hungary,Switzerland,15000,1938-06-12
Italy,France,58455,1938-06-12
Switzerland,Germany,20025,1938-06-09
Cuba,Romania,8000,1938-06-09
Italy,Norway,19000,1938-06-05
Cuba,Romania,7000,1938-06-05
Hungary,Dutch East Indies,9000,1938-06-05
France,Belgium,30454,1938-06-05
Brazil,Poland,13452,1938-06-05
Czechoslovakia,Netherlands,11000,1938-06-05
Switzerland,Germany,27152,1938-06-04
Italy,Czechoslovakia,55000,1934-06-10
Germany,Austria,7000,1934-06-07
Czechoslovakia,Germany,15000,1934-06-03
Italy,Austria,35000,1934-06-03
Italy,Spain,43000,1934-06-01
Austria,Hungary,23000,1934-05-31
Czechoslovakia,Switzerland,12000,1934-05-31
Italy,Spain,35000,1934-05-31
Germany,Sweden,3000,1934-05-31
Czechoslovakia,Romania,9000,1934-05-27
Hungary,Egypt,9000,1934-05-27
Austria,France,16000,1934-05-27
Switzerland,Netherlands,33000,1934-05-27
Sweden,Argentina,14000,1934-05-27
Spain,Brazil,21000,1934-05-27
Germany,Belgium,8000,1934-05-27
Italy,United States,25000,1934-05-27
Uruguay,Argentina,68346,1930-07-30
Uruguay,Yugoslavia,79867,1930-07-27
Argentina,United States,72886,1930-07-26
Argentina,Chile,41459,1930-07-22
Uruguay,Romania,70022,1930-07-21
Brazil,Bolivia,25466,1930-07-20
Paraguay,Belgium,12000,1930-07-20
Chile,France,2000,1930-07-19
Argentina,Mexico,42100,1930-07-19
Uruguay,Peru,57735,1930-07-18
Yugoslavia,Bolivia,18306,1930-07-17
United States,Paraguay,18306,1930-07-17
Chile,Mexico,9249,1930-07-16
Argentina,France,23409,1930-07-15
Yugoslavia,Brazil,24059,1930-07-14
Romania,Peru,2549,1930-07-14
United States,Belgium,18346,1930-07-13
France,Mexico,4444,1930-07-13
