home_team,away_team,Attendance,Date
Korea Republic,Algeria,42732,2014-06-22
United States,Portugal,40123,2014-06-22
Argentina,IR Iran,57698,2014-06-21
Germany,Ghana,59621,2014-06-21
Nigeria,Bosnia and Herzegovina,40499,2014-06-21
Italy,Costa Rica,40285,2014-06-20
Switzerland,France,51003,2014-06-20
Honduras,Ecuador,39224,2014-06-20
Colombia,Côte d'Ivoire,68748,2014-06-19
Uruguay,England,62575,2014-06-19
Japan,Greece,39485,2014-06-19
Australia,Netherlands,42877,2014-06-18
Spain,Chile,74101,2014-06-18
Cameroon,Croatia,39982,2014-06-18
Belgium,Algeria,56800,2014-06-17
Brazil,Mexico,60342,2014-06-17
Russia,Korea Republic,37603,2014-06-17
Germany,Portugal,51081,2014-06-16
IR Iran,Nigeria,39081,2014-06-16
Ghana,United States,39760,2014-06-16
Switzerland,Ecuador,68351,2014-06-15
France,Honduras,43012,2014-06-15
Argentina,Bosnia and Herzegovina,74738,2014-06-15
Colombia,Greece,57174,2014-06-14
Uruguay,Costa Rica,58679,2014-06-14
England,Italy,39800,2014-06-14
Côte d'Ivoire,Japan,40267,2014-06-14
Mexico,Cameroon,39216,2014-06-13
Spain,Netherlands,48173,2014-06-13
Chile,Australia,40275,2014-06-13
Brazil,Croatia,62103,2014-06-12
Netherlands,Spain,84490,2010-07-11
Uruguay,Germany,36254,2010-07-10
Germany,Spain,60960,2010-07-07
Uruguay,Netherlands,62479,2010-07-06
Argentina,Germany,64100,2010-07-03
Paraguay,Spain,55359,2010-07-03
Netherlands,Brazil,40186,2010-07-02
Uruguay,Ghana,84017,2010-07-02
Paraguay,Japan,36742,2010-06-29
Spain,Portugal,62955,2010-06-29
Netherlands,Slovakia,61962,2010-06-28
Brazil,Chile,54096,2010-06-28
Germany,England,40510,2010-06-27
Argentina,Mexico,84377,2010-06-27
Uruguay,Korea Republic,30597,2010-06-26
United States,Ghana,34976,2010-06-26
Portugal,Brazil,62712,2010-06-25
Korea DPR,Côte d'Ivoire,34763,2010-06-25
Chile,Spain,41958,2010-06-25
Switzerland,Honduras,28042,2010-06-25
Paraguay,New Zealand,34850,2010-06-24
Slovakia,Italy,53412,2010-06-24
Denmark,Japan,27967,2010-06-24
Cameroon,Netherlands,63093,2010-06-24
Slovenia,England,36893,2010-06-23
United States,Algeria,35827,2010-06-23
Ghana,Germany,83391,2010-06-23
Australia,Serbia,37836,2010-06-23
Mexico,Uruguay,33425,2010-06-22
France,South Africa,39415,2010-06-22
Nigeria,Korea Republic,61874,2010-06-22
Greece,Argentina,38891,2010-06-22
Portugal,Korea DPR,63644,2010-06-21
Chile,Switzerland,34872,2010-06-21
Spain,Honduras,54386,2010-06-21
Slovakia,Paraguay,26643,2010-06-20
Italy,New Zealand,38229,2010-06-20
Brazil,Côte d'Ivoire,84455,2010-06-20
Netherlands,Japan,62010,2010-06-19
Ghana,Australia,34812,2010-06-19
Cameroon,Denmark,38074,2010-06-19
Germany,Serbia,38294,2010-06-18
Slovenia,United States,45573,2010-06-18
England,Algeria,64100,2010-06-18
Argentina,Korea Republic,82174,2010-06-17
Greece,Nigeria,31593,2010-06-17
France,Mexico,35370,2010-06-17
Honduras,Chile,32664,2010-06-16
Spain,Switzerland,62453,2010-06-16
South Africa,Uruguay,42658,2010-06-16
New Zealand,Slovakia,23871,2010-06-15
Côte d'Ivoire,Portugal,37034,2010-06-15
Brazil,Korea DPR,54331,2010-06-15
Netherlands,Denmark,83465,2010-06-14
Japan,Cameroon,30620,2010-06-14
Italy,Paraguay,62869,2010-06-14
Algeria,Slovenia,30325,2010-06-13
Serbia,Ghana,38833,2010-06-13
Germany,Australia,62660,2010-06-13
Korea Republic,Greece,31513,2010-06-12
Argentina,Nigeria,55686,2010-06-12
England,United States,38646,2010-06-12
South Africa,Mexico,84490,2010-06-11
Uruguay,France,64100,2010-06-11
Italy,France,69000,2006-07-09
Germany,Portugal,52000,2006-07-08
Portugal,France,66000,2006-07-05
Germany,Italy,65000,2006-07-04
England,Portugal,52000,2006-07-01
Brazil,France,48000,2006-07-01
Germany,Argentina,72000,2006-06-30
Italy,Ukraine,50000,2006-06-30
Brazil,Ghana,65000,2006-06-27
Spain,France,43000,2006-06-27
Italy,Australia,46000,2006-06-26
Switzerland,Ukraine,45000,2006-06-26
England,Ecuador,52000,2006-06-25
Portugal,Netherlands,41000,2006-06-25
Germany,Sweden,66000,2006-06-24
Argentina,Mexico,43000,2006-06-24
Saudi Arabia,Spain,46000,2006-06-23
Ukraine,Tunisia,72000,2006-06-23
Togo,France,45000,2006-06-23
Switzerland,Korea Republic,43000,2006-06-23
Ghana,United States,41000,2006-06-22
Czech Republic,Italy,50000,2006-06-22
Japan,Brazil,65000,2006-06-22
Croatia,Australia,52000,2006-06-22
Portugal,Mexico,52000,2006-06-21
IR Iran,Angola,38000,2006-06-21
Côte d'Ivoire,Serbia and Montenegro,66000,2006-06-21
Netherlands,Argentina,48000,2006-06-21
Costa Rica,Poland,43000,2006-06-20
Ecuador,Germany,72000,2006-06-20
Paraguay,Trinidad and Tobago,46000,2006-06-20
Sweden,England,45000,2006-06-20
Togo,Switzerland,65000,2006-06-19
Saudi Arabia,Ukraine,50000,2006-06-19
Spain,Tunisia,52000,2006-06-19
Japan,Croatia,41000,2006-06-18
Brazil,Australia,66000,2006-06-18
France,Korea Republic,43000,2006-06-18
Portugal,IR Iran,48000,2006-06-17
Czech Republic,Ghana,45000,2006-06-17
Italy,United States,46000,2006-06-17
Argentina,Serbia and Montenegro,52000,2006-06-16
Netherlands,Côte d'Ivoire,52000,2006-06-16
Mexico,Angola,43000,2006-06-16
Ecuador,Costa Rica,50000,2006-06-15
England,Trinidad and Tobago,41000,2006-06-15
Sweden,Paraguay,72000,2006-06-15
Spain,Ukraine,43000,2006-06-14
Tunisia,Saudi Arabia,66000,2006-06-14
Germany,Poland,65000,2006-06-14
Korea Republic,Togo,48000,2006-06-13
France,Switzerland,52000,2006-06-13
Brazil,Croatia,72000,2006-06-13
Australia,Japan,46000,2006-06-12
United States,Czech Republic,52000,2006-06-12
Italy,Ghana,43000,2006-06-12
Serbia and Montenegro,Netherlands,37216,2006-06-11
Mexico,IR Iran,41000,2006-06-11
